,idnum,uniq_id,pais,year,wave,nationality,estratopri,strata,upm,prov1t,ur1new,q1tb,q2,wt,weight1500,core_a_core_b,a4,covid2at,idio2,idio2cov,fs2,fs2covidn,covid11n,it1,jc13,jc13covid,jc15a,jccov1,jccov2,vic1ext,aoj11,countfair1,countfair2,countfair3,countfair4,wvsi2,wvsi3,chm1bn,chm2bn,cses6n,b0t,b2,b3,b4,b6,b32,b47a,dst1bn,pr3dnr,pr3enr,drk1c,drk1n,drr1,drr1a,drr1b,m1,ing4,anestg,pn4,exc6,exc2,exc7new,mil10a,mil10e,ccch1,ccch3,ccch4,ccch6,ccus1,ccus3,ccus4,ccus6,ctaware,ctspecific1,ctdiffuse1,ctdiffuse2,edr,ocup4a,q10newt,q11n,q12c,q12bn,covidedu1_1,covidedu1_2,covidedu1_3,covidedu1_4,covidedu1_5,covidedu2,etid,gi0n,r3,r4,r6,r7,r15,r18n,r18,r16,r27,psc1n,psc1c1,psc1c2_1,psc1c2_2,psc1c2_3,psc1c2_4,psc1c2_5,psc1c2_6,psc1c2_7,psc1c2_8,psc1c2_9,psc1c2_10,psc1c2_11,psc1c2_12,psc1c2_13,psc1c2_14,psc1c2_15,psc1c2_16,psc1c2_17,psc1c2_18,psc1c2_19,psc1c2_77,psc1c3,psc1t1_1,psc1t1_2,psc1t1_3,psc1t1_4,psc1t1_5,psc1t1_6,psc1t1_77,psc1c4,psc1t2_1,psc1t2_2,psc1t2_3,psc1t2_4,psc1t2_5,psc1t2_6,psc1t2_7,psc1t2_8,psc1t2_9,psc1t2_10,psc1t2_11,psc1t2_12,psc1t2_13,psc1t2_14,psc1t2_15,psc1t2_16,psc1t2_17,psc1t2_18,psc1t2_19,psc1t2_77,psc1t3,psc1t4,psc2n,psc2r1,psc2r2_1,psc2r2_2,psc2r2_3,psc2r2_4,psc2r2_5,psc2r2_6,psc2r2_7,psc2r2_8,psc2r2_9,psc2r2_10,psc2r2_11,psc2r2_12,psc2r2_13,psc2r2_14,psc2r2_15,psc2r2_16,psc2r2_17,psc2r2_18,psc2r2_19,psc2r2_99,psc2r2_77,psc2c1,psc2c2_1,psc2c2_2,psc2c2_3,psc2c2_4,psc2c2_5,psc2c2_6,psc2c2_7,psc2c2_8,psc2c2_9,psc2c2_10,psc2c2_11,psc2c2_12,psc2c2_13,psc2c2_14,psc2c2_15,psc2c2_16,psc2c2_17,psc2c2_18,psc2c2_19,psc2c2_77,psc2f1,psc2f2_1,psc2f2_2,psc2f2_3,psc2f2_4,psc2f2_5,psc2f2_6,psc2f2_7,psc2f2_8,psc2f2_9,psc2f2_10,psc2f2_11,psc2f2_12,psc2f2_13,psc2f2_14,psc2f2_15,psc2f2_16,psc2f2_17,psc2f2_18,psc2f2_19,psc2f2_77,psc2f3,psc2f4_1,psc2f4_2,psc2f4_3,psc2f4_77,psc7n,psc8n,psc9n,psc14,psc12n,psc11n,psc11an,psc15,psc16,psc13n_1,psc13n_2,psc13n_3,psc13n_4,psc13n_5,psc13n_7,psc13n_11,psc13n_12,psc13n_13,psc13n_77,conocim,municipio1t,idiomaq,formatq,sexi,srvyrid,fecha,gpt_results,gpt_distance,gpt_num_preg,gpt_distance_norm,gpt_distance_norm_wt
1616,252117.0,21170252117.0,17,2021,2021,17,1704.0,1700002021,172695721,1700024.0,1.0,2,40,0.62536323,0.3115393,Core A,1.0,4.0,2.0,,0.0,,2,4.0,,2.0,2.0,1.0,,,,3.0,2.0,,,,1.0,2.0,,4.0,1.0,5.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,4.0,2.0,2.0,1.0,2006.0,3.0,3.0,7.0,3.0,2.0,0.0,,,,,2.0,3.0,2.0,3.0,,,,,4.0,,3.0,4.0,3.0,,,,,,,,,,,,2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1724015.0,1,6,2,26.0,2021-04-02,"(8.0, 11, 0.7272727272727273)",8.0,11,0.7272727272727273,0.4548096223310991
1620,365432.0,21170365432.0,17,2021,2021,17,1703.0,1700002021,172046721,1700004.0,2.0,1,57,1.5593418,0.77682257,Core A,3.0,1.0,3.0,2.0,1.0,2.0,2,3.0,2.0,,1.0,,1.0,,,,,1.0,3.0,,2.0,2.0,,4.0,7.0,6.0,6.0,7.0,5.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,1.0,1982.0,1.0,2.0,5.0,3.0,2.0,0.0,,,,,,,,,1.0,3.0,1.0,1.0,4.0,2.0,5.0,5.0,0.0,,,,,,,,,,,,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1704016.0,1,6,2,26.0,2021-03-22,"(9.0, 10, 0.9)",9.0,10,0.9,1.4034076094627381
1621,311004.0,21170311004.0,17,2021,2021,17,1708.0,1700002021,172921821,1700001.0,1.0,2,27,0.73256916,0.36494645,Core A,71.0,1.0,1.0,,0.0,,2,3.0,,2.0,2.0,,2.0,,,2.0,2.0,,,,2.0,,,4.0,5.0,7.0,3.0,4.0,6.0,2.0,4.0,5.0,1.0,4.0,,1.0,2.0,,,3.0,4.0,3.0,4.0,0.0,,,,,,,,,,,,,3.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,7.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1701015.0,1,6,2,26.0,2021-04-15,"(6.0, 9, 0.6666666666666666)",6.0,9,0.6666666666666666,0.48837943871816
1622,170911.0,21170170911.0,17,2021,2021,17,1703.0,1700002021,171961221,1700007.0,3.0,2,29,1.9358575,0.96439266,Core A,1.0,2.0,3.0,2.0,1.0,2.0,2,3.0,,1.0,2.0,,2.0,,,,,1.0,2.0,,1.0,1.0,,3.0,2.0,4.0,1.0,1.0,7.0,5.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,,,5.0,7.0,4.0,3.0,0.0,,,,,,,,,,,2.0,2.0,3.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1707019.0,1,6,2,26.0,2021-03-20,"(4.0, 9, 0.4444444444444444)",4.0,9,0.4444444444444444,0.8603811264038086
1623,266953.0,21170266953.0,17,2021,2021,17,1706.0,1700002021,173462721,1700023.0,1.0,1,39,2.6463096,1.318321,Core A,1.0,1.0,3.0,1.0,0.0,,2,3.0,,2.0,2.0,,2.0,,,1.0,1.0,,,,2.0,,1.0,1.0,4.0,7.0,4.0,7.0,7.0,1.0,7.0,1.0,4.0,2.0,4.0,4.0,2.0,,,1.0,7.0,3.0,2.0,0.0,,,1.0,2.0,1.0,1.0,,,,,,,2.0,2.0,4.0,5.0,2.0,,,,,,,,,,,,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1723006.0,1,6,2,26.0,2021-04-27,"(9.0, 12, 0.75)",9.0,12,0.75,1.984732210636139
1625,69505.0,21170069505.0,17,2021,2021,17,1708.0,1700002021,170278021,1700001.0,1.0,1,45,0.57320946,0.2855577,Core A,59.0,4.0,3.0,2.0,0.0,,2,3.0,1.0,,2.0,,2.0,,,2.0,3.0,,,2.0,,1.0,,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,1.0,2012.0,3.0,5.0,2.0,4.0,4.0,0.0,,,4.0,,,,,,1.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1701009.0,1,6,2,26.0,2021-02-12,"(10.0, 10, 1.0)",10.0,10,1.0,0.5732094645500183
1627,267952.0,21170267952.0,17,2021,2021,17,1708.0,1700002021,171557421,1700001.0,2.0,2,58,0.36654475,0.18260284,Core A,27.0,4.0,3.0,2.0,0.0,,2,1.0,,2.0,2.0,2.0,,,,,,1.0,1.0,,2.0,2.0,,5.0,5.0,2.0,1.0,1.0,7.0,4.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2008.0,2.0,5.0,5.0,4.0,4.0,0.0,,,,,,,,,4.0,,4.0,,1.0,3.0,5.0,5.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,6,2,26.0,2021-03-15,"(8.0, 8, 1.0)",8.0,8,1.0,0.3665447533130646
1628,296717.0,21170296717.0,17,2021,2021,17,1708.0,1700002021,170500021,1700001.0,1.0,1,71,0.57320946,0.2855577,Core A,70.0,2.0,3.0,2.0,0.0,,2,1.0,2.0,,2.0,,2.0,,,,,2.0,2.0,,2.0,2.0,,5.0,1.0,5.0,2.0,4.0,7.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,,,4.0,7.0,3.0,3.0,0.0,,,3.0,4.0,3.0,3.0,3.0,3.0,,,,,2.0,3.0,4.0,3.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1701077.0,1,6,2,26.0,2021-02-19,"(10.0, 11, 0.9090909090909091)",10.0,11,0.9090909090909091,0.5210995132272893
1630,166899.0,21170166899.0,17,2021,2021,17,1709.0,1700002021,172817421,1700002.0,1.0,2,22,1.9490899,0.97098464,Core A,1.0,1.0,2.0,,0.0,,1,1.0,,2.0,2.0,1.0,,,,,,1.0,2.0,,1.0,,2.0,3.0,5.0,5.0,4.0,6.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2015.0,1.0,3.0,6.0,1.0,2.0,0.0,,,3.0,2.0,,,,,3.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1702001.0,1,6,2,26.0,2021-04-13,"(9.0, 9, 1.0)",9.0,9,1.0,1.9490898847579956
1631,386719.0,21170386719.0,17,2021,2021,17,1704.0,1700002021,172726821,1700010.0,4.0,2,45,3.0,1.4945201,Core A,1.0,2.0,3.0,1.0,1.0,1.0,2,3.0,2.0,,2.0,,2.0,,,2.0,1.0,,,,2.0,,2.0,3.0,4.0,6.0,6.0,6.0,7.0,7.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,,,2.0,6.0,3.0,2.0,0.0,,,,,2.0,1.0,2.0,3.0,,,,,4.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1710015.0,1,6,2,26.0,2021-04-03,"(8.0, 12, 0.6666666666666666)",8.0,12,0.6666666666666666,2.0
1632,285555.0,21170285555.0,17,2021,2021,17,1703.0,1700002021,173459421,1700009.0,3.0,1,40,0.5501475,0.27406883,Core A,1.0,2.0,3.0,2.0,0.0,,2,1.0,,2.0,2.0,2.0,,,,3.0,2.0,,,1.0,,2.0,,4.0,3.0,6.0,2.0,7.0,7.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,,,5.0,6.0,4.0,2.0,1.0,,,,2.0,1.0,1.0,2.0,1.0,,,,,4.0,2.0,2.0,4.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1709012.0,1,6,2,26.0,2021-04-27,"(8.0, 10, 0.8)",8.0,10,0.8,0.44011797904968264
1634,49645.0,21170049645.0,17,2021,2021,17,1702.0,1700002021,173348821,1700021.0,1.0,1,53,0.98927134,0.49282864,Core A,71.0,1.0,3.0,1.0,1.0,1.0,1,4.0,2.0,,2.0,,1.0,,,1.0,3.0,,,2.0,,2.0,,2.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,1.0,3.0,4.0,2.0,4.0,1.0,2006.0,1.0,1.0,7.0,1.0,1.0,0.0,,,,,,,,,4.0,,4.0,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1721011.0,1,6,2,26.0,2021-04-24,"(9.0, 9, 1.0)",9.0,9,1.0,0.989271342754364
1635,231991.0,21170231991.0,17,2021,2021,17,1702.0,1700002021,172714621,1700021.0,1.0,2,80,1.0472984,0.5217362,Core A,1.0,1.0,2.0,,0.0,,2,2.0,2.0,,2.0,1.0,,,,2.0,2.0,,,,2.0,,2.0,2.0,6.0,7.0,4.0,7.0,7.0,6.0,6.0,2.0,1.0,1.0,3.0,3.0,2.0,,,2.0,7.0,1.0,2.0,0.0,,,,3.0,2.0,2.0,4.0,,,,,,2.0,2.0,3.0,4.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1721011.0,1,6,2,26.0,2021-04-03,"(5.0, 11, 0.45454545454545453)",5.0,11,0.45454545454545453,0.4760447415438565
1637,102270.0,21170102270.0,17,2021,2021,17,1702.0,1700002021,171389021,1700006.0,1.0,1,39,0.9847801,0.4905912,Core A,70.0,2.0,3.0,1.0,0.0,,2,2.0,2.0,,2.0,2.0,,,,1.0,3.0,,,1.0,,,2.0,4.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,,,4.0,7.0,3.0,2.0,0.0,,,,,,,,,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1706016.0,1,6,2,26.0,2021-03-10,"(5.0, 9, 0.5555555555555556)",5.0,9,0.5555555555555556,0.5471000406477187
1639,291734.0,21170291734.0,17,2021,2021,17,1708.0,1700002021,170279021,1700001.0,2.0,2,28,0.73256916,0.36494645,Core A,2.0,2.0,3.0,2.0,1.0,1.0,2,2.0,,,,2.0,,,,,,2.0,2.0,,1.0,,2.0,3.0,5.0,7.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,2009.0,1.0,4.0,3.0,3.0,3.0,0.0,,,,,,,,,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701077.0,1,6,2,26.0,2021-02-12,"(6.0, 7, 0.8571428571428571)",6.0,7,0.8571428571428571,0.6279164212090628
1641,220805.0,21170220805.0,17,2021,2021,17,1708.0,1700002021,172528121,1700001.0,1.0,2,52,0.36654475,0.18260284,Core A,70.0,2.0,3.0,1.0,0.0,,2,2.0,,2.0,2.0,,2.0,,,,,3.0,1.0,1.0,,2.0,,4.0,1.0,7.0,5.0,5.0,7.0,7.0,6.0,2.0,2.0,1.0,3.0,3.0,1.0,2013.0,2.0,1.0,7.0,1.0,2.0,0.0,,,,3.0,3.0,2.0,3.0,2.0,,,,,2.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1701077.0,1,6,2,26.0,2021-03-31,"(4.0, 10, 0.4)",4.0,10,0.4,0.14661790132522584
1642,62480.0,21170062480.0,17,2021,2021,17,1706.0,1700002021,171401521,1700015.0,1.0,2,38,0.42693964,0.21268995,Core A,2.0,1.0,3.0,1.0,0.0,,2,2.0,2.0,,2.0,,1.0,,,,,1.0,2.0,2.0,,2.0,,4.0,7.0,6.0,2.0,4.0,7.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,,,3.0,5.0,2.0,3.0,0.0,,,,,,,,,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1715077.0,1,6,2,26.0,2021-03-11,"(8.0, 9, 0.8888888888888888)",8.0,9,0.8888888888888888,0.3795018990834554
1643,378823.0,21170378823.0,17,2021,2021,17,1709.0,1700002021,171459621,1700002.0,1.0,2,33,0.44383967,0.2211091,Core A,71.0,1.0,2.0,,0.0,,2,2.0,,2.0,2.0,1.0,,,,,,3.0,2.0,1.0,,,,3.0,6.0,7.0,6.0,7.0,7.0,2.0,6.0,2.0,4.0,4.0,4.0,1.0,2.0,,,1.0,7.0,1.0,1.0,0.0,,,2.0,3.0,2.0,1.0,3.0,1.0,,,,,2.0,3.0,1.0,4.0,3.0,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1702001.0,1,6,2,26.0,2021-03-13,"(4.0, 9, 0.4444444444444444)",4.0,9,0.4444444444444444,0.19726207521226669
1644,344949.0,21170344949.0,17,2021,2021,17,1708.0,1700002021,171357821,1700001.0,2.0,2,48,0.36654475,0.18260284,Core A,27.0,3.0,3.0,2.0,0.0,,2,2.0,,2.0,2.0,,2.0,,,,,2.0,2.0,,2.0,2.0,,3.0,5.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,,2.0,5.0,5.0,4.0,4.0,0.0,,,,2.0,,,,,2.0,2.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1701077.0,1,6,2,26.0,2021-03-09,"(2.0, 10, 0.2)",2.0,10,0.2,0.07330895066261292
1651,391048.0,21170391048.0,17,2021,2021,17,1702.0,1700002021,170041321,1700021.0,1.0,2,41,0.47663543,0.23744707,Core A,3.0,1.0,2.0,,0.0,,1,2.0,,2.0,1.0,1.0,,,,,,2.0,1.0,,2.0,2.0,,2.0,4.0,6.0,6.0,7.0,6.0,3.0,5.0,4.0,3.0,2.0,2.0,1.0,2.0,,,2.0,7.0,2.0,1.0,0.0,,,2.0,4.0,2.0,1.0,2.0,2.0,,,,,2.0,3.0,4.0,2.0,3.0,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1721011.0,1,6,2,30.0,2021-02-03,"(10.0, 10, 1.0)",10.0,10,1.0,0.4766354262828827
1654,382812.0,21170382812.0,17,2021,2021,17,1708.0,1700002021,170779721,1700001.0,1.0,1,50,0.28660473,0.14277884,Core A,70.0,2.0,1.0,,0.0,,2,3.0,2.0,,2.0,1.0,,,,,,2.0,2.0,1.0,,2.0,,2.0,3.0,7.0,7.0,6.0,7.0,7.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,,,1.0,7.0,1.0,2.0,0.0,,,,,2.0,1.0,,,,,,,4.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701002.0,1,6,2,30.0,2021-02-25,"(8.0, 9, 0.8888888888888888)",8.0,9,0.8888888888888888,0.25475976202223033
1655,338493.0,21170338493.0,17,2021,2021,17,1704.0,1700002021,170296721,1700024.0,1.0,1,54,0.7840072,0.3905715,Core A,1.0,2.0,3.0,2.0,0.0,,2,2.0,,2.0,,,,,,2.0,3.0,,,2.0,,,1.0,,4.0,3.0,4.0,3.0,1.0,,5.0,2.0,1.0,1.0,4.0,4.0,1.0,2000.0,2.0,,7.0,2.0,2.0,0.0,,,3.0,2.0,,,,,1.0,,2.0,,3.0,,3.0,4.0,3.0,,,,,,,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1724008.0,1,6,2,30.0,2021-02-13,"(5.0, 6, 0.8333333333333334)",5.0,6,0.8333333333333334,0.6533393263816833
1659,285875.0,21170285875.0,17,2021,2021,17,1703.0,1700002021,170399721,1700014.0,3.0,2,24,1.9358575,0.96439266,Core A,71.0,1.0,1.0,,0.0,,1,2.0,2.0,,2.0,1.0,,,,1.0,,,,,1.0,,1.0,1.0,5.0,7.0,5.0,4.0,5.0,4.0,6.0,2.0,2.0,3.0,4.0,1.0,2.0,,,3.0,5.0,3.0,2.0,0.0,,,,,,,,,,,,,4.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1714006.0,1,6,2,30.0,2021-02-18,"(6.0, 8, 0.75)",6.0,8,0.75,1.451893150806427
1660,74652.0,21170074652.0,17,2021,2021,17,1705.0,1700002021,170812021,1700013.0,2.0,1,41,0.66802573,0.33279264,Core A,3.0,3.0,2.0,,0.0,,2,1.0,2.0,,2.0,,2.0,,,3.0,3.0,,,,1.0,2.0,,3.0,5.0,7.0,4.0,5.0,6.0,6.0,6.0,1.0,2.0,2.0,3.0,3.0,1.0,2005.0,3.0,2.0,7.0,1.0,2.0,0.0,,,2.0,2.0,,,,,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1713004.0,1,6,2,30.0,2021-02-26,"(7.0, 11, 0.6363636363636364)",7.0,11,0.6363636363636364,0.42510728402571246
